codigo_isco,ocupacion,isco_1digit,gran_grupo,DAIOE_total,DAIOE_genai,ratio_genai
2354,Other music teachers,2,2 Téc. y prof. científicos,33.61,2.88,0.086
2355,Other arts teachers,2,2 Téc. y prof. científicos,35.29,3.18,0.09
2356,Information technology trainers,2,2 Téc. y prof. científicos,33.21,3.19,0.096
2359,Teaching professionals not elsewhere classified,2,2 Téc. y prof. científicos,33.77,3.15,0.093
2411,Accountants,2,2 Téc. y prof. científicos,44.93,4.1,0.091
2412,Financial and investment advisers,2,2 Téc. y prof. científicos,45.09,4.22,0.094
2413,Financial analysts,2,2 Téc. y prof. científicos,45.21,4.14,0.092
2421,Management and organization analysts,2,2 Téc. y prof. científicos,41.83,4.03,0.096
2422,Policy administration professionals,2,2 Téc. y prof. científicos,40.73,3.76,0.092
2423,Personnel and careers professionals,2,2 Téc. y prof. científicos,37.61,3.55,0.094
2424,Training and staff development professionals,2,2 Téc. y prof. científicos,33.21,3.19,0.096
2431,Advertising and marketing professionals,2,2 Téc. y prof. científicos,46.41,4.63,0.1
2432,Public relations professionals,2,2 Téc. y prof. científicos,36.4,3.47,0.095
2433,Technical and medical sales professionals (excluding ICT),2,2 Téc. y prof. científicos,33.63,3.14,0.093
2434,Information and communications technology sales professionals,2,2 Téc. y prof. científicos,33.02,3.08,0.093
2511,Systems analysts,2,2 Téc. y prof. científicos,43.84,4.11,0.094
2512,Software developers,2,2 Téc. y prof. científicos,47.28,4.42,0.093
2513,Web and multimedia developers,2,2 Téc. y prof. científicos,45.66,4.2,0.092
2514,Applications programmers,2,2 Téc. y prof. científicos,49.48,4.63,0.094
2519,Software and applications developers and analysts not elsewhere classified,2,2 Téc. y prof. científicos,44.22,4.13,0.093
2521,Database designers and administrators,2,2 Téc. y prof. científicos,46.38,4.24,0.091
2522,Systems administrators,2,2 Téc. y prof. científicos,40.6,3.51,0.086
2523,Computer network professionals,2,2 Téc. y prof. científicos,38.08,3.29,0.086
2529,Database and network professionals not elsewhere classified,2,2 Téc. y prof. científicos,44.67,4.07,0.091
2611,Lawyers,2,2 Téc. y prof. científicos,34.76,3.38,0.097
2612,Judges,2,2 Téc. y prof. científicos,40.26,3.65,0.091
2619,Legal professionals not elsewhere classified,2,2 Téc. y prof. científicos,34.99,3.32,0.095
2621,Archivists and curators,2,2 Téc. y prof. científicos,39.56,3.7,0.094
2622,Librarians and related information professionals,2,2 Téc. y prof. científicos,37.77,3.26,0.086
2631,Economists,2,2 Téc. y prof. científicos,44.47,4.38,0.098
2632,"Sociologists, anthropologists and related professionals",2,2 Téc. y prof. científicos,41.48,4.0,0.097
2633,"Philosophers, historians and political scientists",2,2 Téc. y prof. científicos,42.97,4.21,0.098
2634,Psychologists,2,2 Téc. y prof. científicos,36.37,3.48,0.096
2635,Social work and counselling professionals,2,2 Téc. y prof. científicos,30.01,2.68,0.089
2636,Religious professionals,2,2 Téc. y prof. científicos,30.6,2.89,0.095
2641,Authors and related writers,2,2 Téc. y prof. científicos,47.13,4.74,0.101
2642,Journalists,2,2 Téc. y prof. científicos,43.36,4.22,0.097
2643,"Translators, interpreters and other linguists",2,2 Téc. y prof. científicos,39.71,3.62,0.091
2651,Visual artists,2,2 Téc. y prof. científicos,35.6,2.98,0.084
2652,"Musicians, singers and composers",2,2 Téc. y prof. científicos,34.99,2.81,0.08
2653,Dancers and choreographers,2,2 Téc. y prof. científicos,17.64,1.39,0.079
2654,"Film, stage and related directors and producers",2,2 Téc. y prof. científicos,40.44,3.77,0.093
2655,Actors,2,2 Téc. y prof. científicos,34.03,3.12,0.092
2656,"Announcers on radio, television and other media",2,2 Téc. y prof. científicos,37.7,3.22,0.085
