codigo_isco,ocupacion,isco_1digit,gran_grupo,DAIOE_total,DAIOE_genai,ratio_genai
7213,Sheet-metal workers,7,7 Artesanos manuf./constr.,28.78,1.85,0.064
7214,Structural-metal preparers and erectors,7,7 Artesanos manuf./constr.,23.73,1.33,0.056
7215,Riggers and cable splicers,7,7 Artesanos manuf./constr.,26.85,1.62,0.06
7221,"Blacksmiths, hammersmiths and forging press workers",7,7 Artesanos manuf./constr.,29.2,1.8,0.062
7222,Toolmakers and related workers,7,7 Artesanos manuf./constr.,32.87,2.28,0.069
7223,Metal working machine tool setters and operators,7,7 Artesanos manuf./constr.,28.28,1.7,0.06
7224,"Metal polishers, wheel grinders and tool sharpeners",7,7 Artesanos manuf./constr.,28.78,1.69,0.059
7231,Motor vehicle mechanics and repairers,7,7 Artesanos manuf./constr.,27.6,1.69,0.061
7232,Aircraft engine mechanics and repairers,7,7 Artesanos manuf./constr.,28.16,1.95,0.069
7233,Agricultural and industrial machinery mechanics and repairers,7,7 Artesanos manuf./constr.,26.36,1.61,0.061
7234,Bicycle and related repairers,7,7 Artesanos manuf./constr.,26.96,1.93,0.072
7311,Precision-instrument makers and repairers,7,7 Artesanos manuf./constr.,35.68,2.58,0.072
7312,Musical instrument makers and tuners,7,7 Artesanos manuf./constr.,28.17,1.87,0.066
7313,Jewellery and precious-metal workers,7,7 Artesanos manuf./constr.,37.33,2.58,0.069
7314,Potters and related workers,7,7 Artesanos manuf./constr.,29.92,2.14,0.071
7315,"Glass makers, cutters, grinders and finishers",7,7 Artesanos manuf./constr.,28.49,1.7,0.06
7316,"Sign writers, decorative painters, engravers and etchers",7,7 Artesanos manuf./constr.,30.95,1.96,0.063
7317,"Handicraft workers in wood, basketry and related materials",7,7 Artesanos manuf./constr.,31.77,2.49,0.078
7318,"Handicraft workers in textile, leather and related materials",7,7 Artesanos manuf./constr.,28.46,1.6,0.056
7319,Handicraft workers not elsewhere classified,7,7 Artesanos manuf./constr.,31.77,2.49,0.078
7321,Pre-press technicians,7,7 Artesanos manuf./constr.,38.59,3.21,0.083
7322,Printers ,7,7 Artesanos manuf./constr.,28.97,1.94,0.067
7323,Print finishing and binding workers,7,7 Artesanos manuf./constr.,27.91,1.77,0.064
7411,Building and related electricians,7,7 Artesanos manuf./constr.,28.09,1.9,0.068
7412,Electrical mechanics and fitters,7,7 Artesanos manuf./constr.,29.13,1.93,0.066
7413,Electrical line installers and repairers ,7,7 Artesanos manuf./constr.,26.08,1.79,0.069
7421,Electronics mechanics and servicers,7,7 Artesanos manuf./constr.,30.51,2.15,0.07
7422,Information and communications technology installers and servicers,7,7 Artesanos manuf./constr.,29.56,2.02,0.068
7511,"Butchers, fishmongers and related food preparers",7,7 Artesanos manuf./constr.,25.48,1.47,0.058
7512,"Bakers, pastry-cooks and confectionery makers",7,7 Artesanos manuf./constr.,34.69,2.5,0.072
7513,Dairy-products makers,7,7 Artesanos manuf./constr.,29.24,1.82,0.062
7514,"Fruit, vegetable and related preservers",7,7 Artesanos manuf./constr.,31.01,1.88,0.06
7515,Food and beverage tasters and graders,7,7 Artesanos manuf./constr.,30.95,2.01,0.065
7516,Tobacco preparers and tobacco products makers,7,7 Artesanos manuf./constr.,27.52,1.6,0.058
7521,Wood treaters,7,7 Artesanos manuf./constr.,26.39,1.51,0.057
7522,Cabinet-makers and related workers,7,7 Artesanos manuf./constr.,28.23,1.78,0.063
7523,Woodworking-machine tool setters and operators,7,7 Artesanos manuf./constr.,28.56,1.61,0.056
7531,"Tailors, dressmakers, furriers and hatters",7,7 Artesanos manuf./constr.,32.83,2.32,0.071
7532,Garment and related pattern-makers and cutters,7,7 Artesanos manuf./constr.,30.46,2.05,0.067
7533,"Sewing, embroidery and related workers",7,7 Artesanos manuf./constr.,30.22,1.78,0.059
7534,Upholsterers and related workers,7,7 Artesanos manuf./constr.,26.26,1.68,0.064
7535,"Pelt dressers, tanners and fellmongers",7,7 Artesanos manuf./constr.,26.83,1.43,0.053
7536,Shoemakers and related workers,7,7 Artesanos manuf./constr.,28.46,1.6,0.056
7541,Underwater divers,7,7 Artesanos manuf./constr.,24.4,1.54,0.063
7542,Shotfirers and blasters,7,7 Artesanos manuf./constr.,27.44,1.7,0.062
7543,Product graders and testers (excluding foods and beverages),7,7 Artesanos manuf./constr.,37.23,2.68,0.072
7544,Fumigators and other pest and weed controllers,7,7 Artesanos manuf./constr.,26.15,1.78,0.068
7549,Craft and related workers not elsewhere classified,7,7 Artesanos manuf./constr.,32.55,2.44,0.075
8111,Miners and quarriers,8,8 Operadores instal./maquinaria,24.49,1.28,0.052
8112,Mineral and stone processing plant operators,8,8 Operadores instal./maquinaria,26.01,1.48,0.057
8113,Well drillers and borers and related workers,8,8 Operadores instal./maquinaria,25.62,1.45,0.057
8114,"Cement, stone and other mineral products machine operators",8,8 Operadores instal./maquinaria,26.85,1.61,0.06
8121,Metal processing plant operators,8,8 Operadores instal./maquinaria,26.45,1.47,0.055
8122,"Metal finishing, plating and coating machine operators",8,8 Operadores instal./maquinaria,27.81,1.65,0.059
8131,Chemical products plant and machine operators,8,8 Operadores instal./maquinaria,28.34,1.79,0.063
8132,Photographic products machine operators,8,8 Operadores instal./maquinaria,30.09,2.18,0.073
8141,Rubber products machine operators,8,8 Operadores instal./maquinaria,26.39,1.51,0.057
8142,Plastic products machine operators,8,8 Operadores instal./maquinaria,27.91,1.66,0.059
8143,Paper products machine operators,8,8 Operadores instal./maquinaria,27.2,1.56,0.057
8151,"Fibre preparing, spinning and winding machine operators",8,8 Operadores instal./maquinaria,24.65,1.33,0.054
8152,Weaving and knitting machine operators,8,8 Operadores instal./maquinaria,26.74,1.36,0.051
8153,Sewing machine operators,8,8 Operadores instal./maquinaria,31.27,1.78,0.057
8154,"Bleaching, dyeing and fabric cleaning machine operators",8,8 Operadores instal./maquinaria,28.43,1.76,0.062
8156,Shoemaking and related machine operators,8,8 Operadores instal./maquinaria,30.54,1.85,0.06
8157,Laundry machine operators,8,8 Operadores instal./maquinaria,27.65,1.71,0.062
